STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",9/18/2019,6.49,0,0,0,,69,57
USW00094728,"NY CITY CENTRAL PARK, NY US",9/19/2019,2.91,0,0,0,,70,52
USW00094728,"NY CITY CENTRAL PARK, NY US",9/20/2019,4.7,0,0,0,,78,56
USW00094728,"NY CITY CENTRAL PARK, NY US",9/21/2019,2.68,0,0,0,,84,61
USW00094728,"NY CITY CENTRAL PARK, NY US",9/22/2019,3.58,0,0,0,,86,67
USW00094728,"NY CITY CENTRAL PARK, NY US",9/23/2019,5.37,0.11,0,0,,89,70
USW00094728,"NY CITY CENTRAL PARK, NY US",9/24/2019,5.82,0,0,0,,76,63
USW00094728,"NY CITY CENTRAL PARK, NY US",9/25/2019,3.36,0,0,0,,79,58
USW00094728,"NY CITY CENTRAL PARK, NY US",9/26/2019,3.58,0.02,0,0,,83,63
USW00094728,"NY CITY CENTRAL PARK, NY US",9/27/2019,3.58,0,0,0,,76,59
USW00094728,"NY CITY CENTRAL PARK, NY US",9/28/2019,2.91,0,0,0,,82,65
USW00094728,"NY CITY CENTRAL PARK, NY US",9/29/2019,6.26,0,0,0,,80,65
USW00094728,"NY CITY CENTRAL PARK, NY US",9/30/2019,6.93,0,0,0,,71,60
USW00094728,"NY CITY CENTRAL PARK, NY US",10/1/2019,3.8,0,0,0,,81,63
USW00094728,"NY CITY CENTRAL PARK, NY US",10/2/2019,6.49,0.03,0,0,,93,63
USW00094728,"NY CITY CENTRAL PARK, NY US",10/3/2019,6.26,0.34,0,0,,63,53
USW00094728,"NY CITY CENTRAL PARK, NY US",10/4/2019,6.93,0,0,0,,66,50
USW00094728,"NY CITY CENTRAL PARK, NY US",10/5/2019,4.92,0,0,0,,61,45
USW00094728,"NY CITY CENTRAL PARK, NY US",10/6/2019,2.91,0.01,0,0,,70,57
USW00094728,"NY CITY CENTRAL PARK, NY US",10/7/2019,4.03,0.2,0,0,,79,59
USW00094728,"NY CITY CENTRAL PARK, NY US",10/8/2019,7.83,0.02,0,0,,64,57
USW00094728,"NY CITY CENTRAL PARK, NY US",10/9/2019,10.51,0.54,0,0,,59,51
USW00094728,"NY CITY CENTRAL PARK, NY US",10/10/2019,9.62,0,0,0,,71,53
USW00094728,"NY CITY CENTRAL PARK, NY US",10/11/2019,9.17,0,0,0,,64,55
USW00094728,"NY CITY CENTRAL PARK, NY US",10/12/2019,3.58,0,0,0,,67,55
